vitamin	food	info
Biotin		
b7		
H		
	WUN	30mcg
	WTM	Not determined
	salmon	4-5 mcg per 3 ounces
	whole grains	0.02-6mgc pre slice of bread
	eggs	13-25 mcg per large egg
	avocados	2-6 mcg per avocado
Calcium		
	WUN	1000mg
	WTM	2500mg
	milk	300mg per cup-ice cream counts too!
	yogurt	300mg per cup
	cheddar cheese	303mg per 1.5 ounces
	tofu	258 mg per 1/2 cup
	bok choy	79 mg per 1/2 cup
	spinach	115 mg per 1/2 cup
	rhubarb	174 mg per 1/2 cup
Choline		
	WUN	Men = 550mg; Woman 425mg
	WTM	3500mg
	eggs	126 mg per egg
	milk	38 mg per cup
	broccoli	62 mg per cup
	brussels sprouts	62 mg per cup
	beef	67 mg per 3 ounces
	milk chocolate	20 mg per 1.5 ounces bar
Chromium		
	WUN	Men = 35 mcg; Women = 25 mcg
	WTM	Not determined
	broccoli	22 mgc per cup
	grape juice	7.5 mcg per cup
	whole wheat waffle	6.7 mcg per waffle
	whole wheat muffins	3.6 mcg per muffin
Copper		
	WUN	900mcg
	WTM	10000mcg
	liver	4049mcg per ounce
	oyesters	670 mcg per medium oyester
	crab meat	634 per 3 ounces
	nuts	cashews, for example, offer 629 mcg per ounce
	raw_mushrooms	344 mcg per cup
	semisweet chocolate	198 mcg per ounce
Flouride		
	WUN	Men = 4mg; Women = 3mg
	WTM	10mg
	grape juice	0.05 - 0.64 mg per cup
	sardines	0.2-0.4 mg per 3.5 ounces
	chicken	0.06-0.10mg per 3.5 ounces
Folic Acid		
folate		
folacin		
	WUN	400 mcg
	WTM	1000 mcg
	fortified grains	200-400 mcg per cup
	fortified cereals	200-400 mcg per cup
	asparagus	143 mcg per 6 spears
	spinach	132 mcg per hulf cup
	orange juice	83 mcg per cup
	lentils	179 per half cup
Iodine		
	WUN	150 mcg
	WTM	1100mcg
	cod	99 mcg per 3 ounces
	shrimp	35 mcg per 3 ounces
	tuna	17 mcg per half can
	milk	56 mcg per cup
	baked potatoes	60 mcg per medium potato
	seaweed	more than than 4,500 mcg per ¼ ounce!!!!!
Iron		
	WUN	Men = 8mg; Woman 18mg
	WTM	45 mg
	beef	2.32 mg per 3 cooked ounces
	oysters	5.04 mg per 6 medium oysters
	raisins	0.81 mg per small box
	prune juice	2.28 mg per 6 fluid ounces
	potatoes	1.87 mg per medium potato
	lentils	3.30 mg per half cup
	tofu	2.15 mg per ¼ block
	cashews	1.89 per ounce
Magnesium		
	WUN	Men = 400 mg; Women = 310 mg
	WTM	There is no upper limit for dietary magnesium, but supplemental magnesium should not exceed 350 mg/day
	oat bran	96 mg per half cup
	almonds	78 mg per ounce
	brown rice	86 mg per cup
	cooked spinach	78 mg per half cup
	bananas	32 mg per banana
	molasses	48 mg per tablespoon
Manganese		
	WUN	Men = 2.3 mg; Women = 1.8 mg
	WTM	11mg
	pineapples	0.77 mg per half cup, Get a limited portion of this potion with pineapples
	pecans	1.28 mg per ounce
	oatmeal	0.99 mg per instant oatmeal packet
	brown rice	1.07 mg per half cup
	green tea	0.41-1.58 mg per cup
Molybdenum		
	WUN	45 mcg
	WTM	2000 mcg
	black beans	130 mcg per cup
	split peas	148 mcg per cup
	nuts	nuts like almonds, chestnuts, and peanuts (all about 42 mcg per cup)
Niacin		
b3		
Nicotinic Acid		
	WUN	Men = 16 mg; Women = 14 mg
	WTM	35 mg
	peanuts	3.8 mg per ounces
	chicken	7.3 mg per 3 ounces
	salmon	8.5 mg per 3 ounces
	fortified cereals	20-27 mg per cup
	coffee	0.5 mg per cup
Pantothenic Acid		
b5		
	WUN	5 mg (AI)
	WTM	Not detemined
	chicken	0.98 mg per 3 ounces
	eggs	0.61 mg per large egg
	whole grains	0.19 mg per slice of whole wheat bread
	mushrooms	0.52 mg per half cup
	sweet potato	0.88 mg per medium potato
	avocados	1.99 mg per whole avocado
	yogurt	1.35 mg per cup
Phosphorus		
	WUN	700 mg
	WTM	4000mg
	milk	257 mg per cup (Foods abounding in phosphorus include all-things dairy, like milk)
	yogurt	385 mg per cup
	cheese	131 mg per ounce
	salmon	252 mg per 3 ounces
	eggs	104 mg per large egg
	beer	173 mg per 3 ounces
	chicken	155 mg per 3 ounces
	carbonated cola drinks	40 mg per 3 ounces
Potassium		
	WUN	4700mg
	WTM	Not determined
	baked potatoes	926 mg per potato
	artichokes	343 mg per medium artichoke
	plums	637 mg per 1/2 cup
	raisins	598 mg per 1/2 cup
	bananas	422 per medium banana
Riboflavin		
b2		
	WUN	Men = 1.3mg; Women = 1.1mg
	WTM	Not determined
	milk	0.34 mg per cup
	almonds	0.23 mg per ounce
	cheddar cheese	0.11 mg per ounce
	eggs	0.27 mg per large egg
	enriched grains and cereals	0.59-2.27 mg per cup
Selenium		
	WUN	55 mcg
